Year;Station;Pairnr;Treatment;Vegetation.height;Litter.depth;Bare.soil;Rock;Grass;rich
2020;Mo Grindar;1;Control;0;1,5;0;1;1;4
2020;Mo Grindar;1;Milled;0;0;24;1;0;1
2020;Mo Grindar;2;Control;1;0,5;5;1;0;2
2020;Mo Grindar;2;Milled;0;0;14;11;0;2
2020;Mo Grindar;3;Control;20;3;0;0;0;2
2020;Mo Grindar;3;Milled;0;0;10;15;0;1
2020;Mo Grindar;4;Control;35;2;0;0;0;1
2020;Mo Grindar;4;Milled;0;0;21;4;0;0
2020;Mo Grindar;5;Control;20;1;0;0;0;3
2020;Mo Grindar;5;Milled;0;0;21;4;0;0
2020;Mo Grindar;6;Control;0;0,5;4;6;1;5
2020;Mo Grindar;6;Milled;0;0;22;3;0;0
2020;Mo Grindar;7;Control;7,5;0;6;0;0;2
2020;Mo Grindar;7;Milled;0;0;8;17;0;2
2020;Mo Grindar;8;Control;10;0,5;0;8;0;5
2020;Mo Grindar;8;Milled;0;0;22;3;0;1
2020;Mo Grindar;9;Control;10;2;0;10;0;3
2020;Mo Grindar;9;Milled;0;0;8;17;0;3
2020;Norra Valbo;1;Control;0;0;0;2;5;11
2020;Norra Valbo;1;Milled;0;0;21;4;0;9
2020;Norra Valbo;2;Control;0;0;0;4;1;8
2020;Norra Valbo;2;Milled;0;0;21;4;0;9
2020;Norra Valbo;3;Control;0;0;1;2;1;12
2020;Norra Valbo;3;Milled;0;0;22;3;0;9
2020;Norra Valbo;4;Control;2,5;0,5;0;0;3;13
2020;Norra Valbo;4;Milled;0;0;25;0;0;9
2020;Norra Valbo;5;Control;2,5;0;0;1;0;18
2020;Norra Valbo;5;Milled;0;0;23;2;0;11
2020;Norra Valbo;6;Control;1;0;0;5;3;16
2020;Norra Valbo;6;Milled;0;0;18;7;0;11
2020;Norra Valbo;7;Control;1;0;0;2;0;16
2020;Norra Valbo;7;Milled;0;0;24;1;0;10
2020;Norra Valbo;8;Control;1,5;0;1;3;5;11
2020;Norra Valbo;8;Milled;0;0;23;2;0;9
2020;Norra Valbo;9;Control;0;0;0;2;0;16
2020;Norra Valbo;9;Milled;0;0;23;2;0;13
2020;Storvik;1;Control;10;0,5;0;0;0;6
2020;Storvik;1;Milled;0;0;24;1;1;9
2020;Storvik;2;Control;7,5;0,5;0;0;2;8
2020;Storvik;2;Milled;0;0;3;2;0;7
2020;Storvik;3;Control;0;0;0;0;1;9
2020;Storvik;3;Milled;0;0;1;24;1;11
2020;Storvik;4;Control;2,5;2;0;0;1;5
2020;Storvik;4;Milled;0;0;24;1;0;5
2020;Storvik;5;Control;0;1;0;0;3;3
2020;Storvik;5;Milled;0;0;21;4;0;8
2020;Storvik;6;Control;5;1;0;0;2;7
2020;Storvik;6;Milled;0;0;10;6;1;7
2020;Storvik;7;Control;0;0,5;1;5;0;6
2020;Storvik;7;Milled;0;0;11;14;0;7
2020;Storvik;8;Control;1;1;1;4;0;7
2020;Storvik;8;Milled;0;0;18;7;0;4
2020;Storvik;9;Control;7,5;2;0;0;0;5
2020;Storvik;9;Milled;0;0;18;7;0;7
2020;Tallåsen;1;Control;5;3;0;0;0;3
2020;Tallåsen;1;Milled;0;0;24;1;0;0
2020;Tallåsen;2;Control;2,5;2;1;1;0;1
2020;Tallåsen;2;Milled;0;0;23;2;0;0
2020;Tallåsen;3;Control;0;0,5;3;1;0;2
2020;Tallåsen;3;Milled;0;0;24;1;0;0
2020;Tallåsen;4;Control;2,5;1;0;0;0;3
2020;Tallåsen;4;Milled;0;0;20;5;0;2
2020;Tallåsen;5;Control;2,5;0;2;1;0;2
2020;Tallåsen;5;Milled;0;0;14;11;0;2
2020;Tallåsen;6;Control;0;0;2;12;NA;1
2020;Tallåsen;6;Milled;0;0;8;17;0;1
2020;Tallåsen;7;Control;0;0;8;8;0;1
2020;Tallåsen;7;Milled;0;0;4;21;0;2
2020;Tallåsen;8;Control;5;2;0;0;0;7
2020;Tallåsen;8;Milled;0;0;12;13;0;4
2020;Tallåsen;9;Control;5;1,5;2;0;0;10
2020;Tallåsen;9;Milled;0;0;15;10;0;5
2022;Mo Grindar;1;Control;1;0,5;0;2;0;4
2022;Mo Grindar;1;Milled;1;0;22;1;2;4
2022;Mo Grindar;2;Control;0;0;25;1;0;2
2022;Mo Grindar;2;Milled;0;0;24;7;0;5
2022;Mo Grindar;3;Control;0;1;0;4;NA;1
2022;Mo Grindar;3;Milled;0;0;13;7;1;9
2022;Mo Grindar;4;Control;10;2,5;0;3;0;1
2022;Mo Grindar;4;Milled;5;0;9;9;4;4
2022;Mo Grindar;5;Control;15;1;0;0;0;1
2022;Mo Grindar;5;Milled;0;0;13;3;6;6
2022;Mo Grindar;6;Control;10;1,5;3;6;0;2
2022;Mo Grindar;6;Milled;0;0;25;2;0;6
2022;Mo Grindar;7;Control;15;1,5;0;1;0;4
2022;Mo Grindar;7;Milled;2,5;0;19;2;0;2
2022;Mo Grindar;8;Control;1,5;0,5;5;5;2;6
2022;Mo Grindar;8;Milled;0;0;24;2;1;6
2022;Mo Grindar;9;Control;5;2;0;6;0;2
2022;Mo Grindar;9;Milled;0;0;25;0;0;4
2022;Norra Valbo;1;Control;2,5;1;0;0;0;11
2022;Norra Valbo;1;Milled;2,5;0;19;2;0;10
2022;Norra Valbo;2;Control;2,5;0,5;1;3;0;11
2022;Norra Valbo;2;Milled;0;0;17;10;0;8
2022;Norra Valbo;3;Control;0;0,5;2;3;4;11
2022;Norra Valbo;3;Milled;0;0,5;8;0;1;11
2022;Norra Valbo;4;Control;10;2;0;0;0;8
2022;Norra Valbo;4;Milled;2,5;0,5;0;0;0;13
2022;Norra Valbo;5;Control;20;1,5;0;1;0;11
2022;Norra Valbo;5;Milled;0;0;25;3;0;13
2022;Norra Valbo;6;Control;7,5;0,5;0;1;0;16
2022;Norra Valbo;6;Milled;2,5;0;13;5;0;16
2022;Norra Valbo;7;Control;10;1;0;1;1;12
2022;Norra Valbo;7;Milled;0;0;22;9;0;12
2022;Norra Valbo;8;Control;5;0,5;0;2;0;12
2022;Norra Valbo;8;Milled;1;0;11;11;1;13
2022;Norra Valbo;9;Control;10;2,5;1;1;3;5
2022;Norra Valbo;9;Milled;5;0,5;6;3;2;11
2022;Storvik;1;Control;7,5;1;0;0;0;6
2022;Storvik;1;Milled;5;0,5;0;2;0;7
2022;Storvik;2;Control;10;1,5;0;0;5;8
2022;Storvik;3;Control;40;0,5;0;0;0;9
2022;Storvik;3;Milled;5;1;0;0;19;6
2022;Storvik;4;Control;30;0,5;0;3;0;6
2022;Storvik;4;Milled;0;0;19;4;0;4
2022;Storvik;5;Control;1;0,5;0;0;21;5
2022;Storvik;5;Milled;0;0;20;10;0;7
2022;Storvik;6;Control;10;1;0;0;7;10
2022;Storvik;6;Milled;1,5;0;15;0;9;6
2022;Storvik;7;Control;1;0;9;7;1;8
2022;Storvik;7;Milled;0;0;22;10;6;4
2022;Storvik;8;Control;2,5;0,5;0;6;0;1
2022;Storvik;8;Control;2,5;3;0;6;0;1
2022;Storvik;8;Control;2,5;NA;0;6;0;6
2022;Storvik;8;Milled;2,5;0;1;11;2;8
2022;Storvik;9;Control;15;1,5;0;0;2;6
2022;Storvik;9;Milled;7,5;0,5;0;0;2;9
2022;Tallåsen;1;Control;5;1;1;0;0;3
2022;Tallåsen;1;Milled;1;0;22;0;0;9
2022;Tallåsen;2;Control;10;1,5;0;2;0;3
2022;Tallåsen;2;Milled;0;0;25;2;0;8
2022;Tallåsen;3;Control;2,5;2,5;0;1;0;3
2022;Tallåsen;3;Milled;0;0;23;22;0;7
2022;Tallåsen;4;Control;2,5;1;0;0;0;2
2022;Tallåsen;4;Milled;0;0;25;12;0;5
2022;Tallåsen;5;Control;5;2;0;0;0;3
2022;Tallåsen;5;Milled;0;0;24;5;0;7
2022;Tallåsen;6;Control;1;0;8;2;0;4
2022;Tallåsen;6;Milled;0;0;25;5;0;6
2022;Tallåsen;7;Control;0;0;25;1;0;3
2022;Tallåsen;7;Milled;0;0;25;2;0;7
2022;Tallåsen;8;Control;2,5;1;0;2;0;6
2022;Tallåsen;8;Milled;0;0;25;3;0;7
2022;Tallåsen;9;Control;5;2,5;0;1;0;5
2022;Tallåsen;9;Milled;0;0;22;2;0;9
