Year;Station;Behandling;Ruta;rich
1;Brunflo;Ytskrapning;1;23
1;Brunflo;Ytskrapning;2;25
1;Brunflo;Ytskrapning;3;20
1;Brunflo;Ytskrapning;4;23
1;Brunflo;Ytskrapning;5;25
1;Brunflo;Ytskrapning;6;23
1;Mattmar;Ytskrapning;1;21
1;Mattmar;Ytskrapning;2;17
1;Mattmar;Ytskrapning;3;15
1;Mattmar;Ytskrapning;4;16
1;Mattmar;Ytskrapning;5;13
1;Mattmar;Ytskrapning;6;20
1;Ope;Ytskrapning;1;16
1;Ope;Ytskrapning;2;16
1;Ope;Ytskrapning;3;14
1;Ope;Ytskrapning;4;14
1;Ope;Ytskrapning;5;14
1;Ope;Ytskrapning;6;17
1;Trångsviken;Ytskrapning;1;13
1;Trångsviken;Ytskrapning;2;10
1;Trångsviken;Ytskrapning;3;21
1;Trångsviken;Ytskrapning;4;15
1;Trångsviken;Ytskrapning;5;17
1;Trångsviken;Ytskrapning;6;16
6;Brunflo;Ytskrapning;1;12
6;Brunflo;Ytskrapning;2;13
6;Brunflo;Ytskrapning;3;12
6;Brunflo;Ytskrapning;4;11
6;Brunflo;Ytskrapning;5;16
6;Brunflo;Ytskrapning;6;13
6;Mattmar;Ytskrapning;1;14
6;Mattmar;Ytskrapning;2;12
6;Mattmar;Ytskrapning;3;9
6;Mattmar;Ytskrapning;4;13
6;Mattmar;Ytskrapning;5;13
6;Mattmar;Ytskrapning;6;12
6;Ope;Ytskrapning;1;14
6;Ope;Ytskrapning;2;13
6;Ope;Ytskrapning;3;13
6;Ope;Ytskrapning;4;14
6;Ope;Ytskrapning;5;12
6;Ope;Ytskrapning;6;12
6;Trångsviken;Ytskrapning;1;13
6;Trångsviken;Ytskrapning;2;10
6;Trångsviken;Ytskrapning;3;14
6;Trångsviken;Ytskrapning;4;18
6;Trångsviken;Ytskrapning;5;15
6;Trångsviken;Ytskrapning;6;14
